,Participant.Private.ID,Local Timestamp,Experiment Status,remote assocotations 1,remote assocotations 2,order,Remote.association.3,Response,Participant OS,response1,open1,open2,open3,open4,open5,age,gender
1,10168827,1.70601E+12,preview,6,13,ABC,22,END,Windows 10,50,3,3,3,3,3,34,male
2,10192092,1.70601E+12,preview,9,18,ABC,27,BEGIN,Windows 10,63,3,4,3,3,3,34,female
3,10205485,1.70601E+12,preview,6,6,BCA,6,bank,Windows 10,73,2,4,4,3,3,18,male
4,10208522,1.70601E+12,preview,3,10,ABC,18,day,Windows 10,58,3,3,2,2,3,29,female
5,10218310,1.70601E+12,preview,9,18,CAB,27,black,Windows 10,68,3,3,2,3,2,46,male
6,10225898,1.70601E+12,preview,3,7,ABC,11,common,Windows 10,54,2,3,3,2,3,40,female
7,10228586,1.70601E+12,preview,8,16,BCA,25,soap,Windows 10,51,2,4,3,3,4,24,female
8,10229418,1.70601E+12,preview,5,10,BCA,15,candle,Windows 10,54,2,3,3,3,3,18,male
9,10229407,1.70601E+12,preview,9,18,ABC,27,time,Windows 10,46,2,3,3,3,3,31,female
10,10229409,1.70601E+12,live,1,2,CAB,4,knot,Windows 10,48,3,3,3,3,2,46,male
11,10229414,1.70601E+12,live,1,2,ABC,3,bowl,Windows 10,63,3,2,3,2,4,36,female
12,10229408,1.70601E+12,live,9,18,CAB,27,END,Windows 10,55,3,3,3,3,3,39,male
13,10229412,1.70601E+12,live,2,8,ABC,14,BEGIN,Windows 10,64,3,2,3,3,3,33,female
14,10229410,1.70619E+12,live,3,10,ABC,17,day,Windows 10,59,3,3,4,2,3,39,male
15,10229415,1.70619E+12,live,7,15,BCA,24,bank,Windows 10,63,2,2,3,3,4,43,female
16,10229405,1.70619E+12,live,1,3,CAB,31,blue,Windows 10,52,3,3,2,3,3,35,female
17,10229436,1.70619E+12,live,0,2,CAB,6,common,Windows 10,61,3,3,3,3,4,26,male
18,10229420,1.70619E+12,live,7,15,BCA,23,candle,Windows 10,65,3,2,3,3,3,48,female
19,10229433,1.70619E+12,live,9,18,BCA,27,soap,Windows 10,48,3,3,3,4,2,37,male
20,10229428,1.70619E+12,live,4,11,BCA,18,bowl,Windows 10,79,3,3,3,3,3,47,female
21,10229431,1.70619E+12,live,2,2,ABC,2,bow,Windows 10,70,4,3,4,4,3,20,male
22,10229450,1.70619E+12,live,4,8,CAB,12,stone,Windows 10,64,4,2,2,3,3,23,female
23,10229425,1.70619E+12,live,7,15,ABC,24,END,Windows 10,71,3,4,3,3,4,29,male
24,10229421,1.70619E+12,live,8,17,CAB,26,BEGIN,Windows 10,57,3,2,2,3,4,19,female
25,10229489,1.70619E+12,live,9,18,ABC,27,day,Windows 10,65,3,4,3,3,3,47,female
26,10229422,1.70619E+12,live,8,16,CAB,24,blue,Windows 10,53,2,3,3,4,3,35,male
27,10229440,1.70628E+12,live,4,8,ABC,13,bank,Windows 10,68,4,3,3,3,3,47,female
28,10229468,1.70628E+12,live,4,12,BCA,21,wash,Windows 10,69,2,4,3,3,3,40,male
29,10229499,1.70628E+12,live,4,9,BCA,15,common,Windows 10,65,2,3,4,4,3,24,female
30,10229429,1.70628E+12,live,1,6,ABC,12,bowl,Windows 10,65,3,3,3,3,3,18,male
31,10229522,1.70628E+12,live,1,2,CAB,2,stone,Windows 10,59,4,3,3,3,3,30,female
32,10229525,1.70628E+12,live,9,18,ABC,27,END,Windows 10,57,3,4,3,3,3,38,male
33,10229575,1.70628E+12,live,0,0,BCA,0,BEGIN,Windows 10,70,3,3,3,3,3,47,female
34,10230533,1.70628E+12,live,0,4,CAB,8,day,Windows 10,62,4,2,3,3,3,36,female
35,10230537,1.70628E+12,live,3,8,BCA,13,bank,Windows 10,37,3,3,3,4,3,18,male
36,10230546,1.70628E+12,live,0,0,ABC,0,blue,Windows 10,88,4,3,3,4,3,43,female
37,10230559,1.70628E+12,live,7,14,CAB,21,common,Windows 10,73,3,3,3,3,3,32,male
38,10230547,1.70628E+12,live,1,2,CAB,3,candle,Mac OS 10.15.7,64,3,4,4,3,3,28,female
39,10230578,1.70628E+12,live,1,2,ABC,3,soap,Mac OS 10.15.7,75,3,3,3,3,3,47,male
40,10230571,1.7063E+12,live,4,8,CAB,13,bowl,Mac OS 10.15.7,56,2,3,4,3,3,23,female
41,10230551,1.7063E+12,live,4,10,ABC,16,bow,Mac OS 10.15.7,54,2,4,3,3,3,33,male
42,10230594,1.70628E+12,live,8,17,ABC,26,stone,Mac OS 10.15.7,50,4,3,4,3,3,26,female
43,10230576,1.70636E+12,live,7,15,BCA,24,END,Mac OS 10.15.7,55,4,4,3,3,2,44,female
44,10230541,1.70637E+12,live,0,0,BCA,0,BEGIN,Mac OS 10.15.7,63,2,4,2,3,3,46,male
45,10230589,1.70637E+12,live,6,14,CAB,22,photo,Mac OS 10.15.7,66,3,3,3,1,3,39,female
46,10230604,1.70638E+12,live,3,6,BCA,9,sleep,Mac OS 10.15.7,70,3,3,4,3,2,30,male
47,10230659,1.70639E+12,live,0,5,ABC,5,bank,Mac OS 10.15.7,74,4,3,3,3,4,45,female
48,10428518,1.7064E+12,live,0,9,BCA,18,home,Mac OS 10.15.7,68,3,3,2,3,3,37,male
49,10441243,1.70641E+12,live,2,10,BCA,18,candle,Mac OS 10.15.7,48,3,3,3,3,2,28,female
50,10445255,1.70642E+12,live,9,18,CAB,27,soap,Mac OS 10.15.7,67,2,3,3,4,2,20,male
51,10230547,1.70628E+12,live,1,2,CAB,3,candle,Mac OS 10.15.7,64,3,4,4,3,3,28,female
