"","ID","condition","age","gender","remote_pos","remote_neg","remote_neut","total_mood","total_openness","mean_openness"
"1","10229436","CAB",26,"male",0,2,4,61,16,3.2
"2","10230533","CAB",36,"female",0,4,4,62,15,3
"3","10230659","ABC",45,"female",0,5,0,74,17,3.4
"4","10428518","BCA",37,"male",0,9,9,68,14,2.8
"5","10229522","CAB",30,"female",1,1,0,59,16,3.2
"6","10229414","ABC",36,"female",1,1,1,63,14,2.8
"7","10230547","CAB",28,"female",1,1,1,64,17,3.4
"8","10230578","ABC",47,"male",1,1,1,75,15,3
"9","10229409","CAB",46,"male",1,1,2,48,14,2.8
"10","10229405","CAB",35,"female",1,2,28,52,14,2.8
"11","10229429","ABC",18,"male",1,5,6,65,15,3
"12","10229431","ABC",20,"male",2,0,0,70,18,3.6
"13","10229412","ABC",33,"female",2,6,6,64,14,2.8
"14","10441243","BCA",28,"female",2,8,8,48,14,2.8
"15","10230604","BCA",30,"male",3,3,3,70,15,3
"16","10230537","BCA",18,"male",3,5,5,37,16,3.2
"17","10229410","ABC",39,"male",3,7,7,59,15,3
"18","10229450","CAB",23,"female",4,4,4,64,14,2.8
"19","10229440","ABC",47,"female",4,4,5,68,16,3.2
"20","10230571","CAB",23,"female",4,4,5,56,15,3
"21","10229499","BCA",24,"female",4,5,6,65,16,3.2
"22","10230551","ABC",33,"male",4,6,6,54,15,3
"23","10229428","BCA",47,"female",4,7,7,79,15,3
"24","10229468","BCA",40,"male",4,8,9,69,15,3
"25","10230589","CAB",39,"female",6,8,8,66,13,2.6
"26","10230559","CAB",32,"male",7,7,7,73,15,3
"27","10229420","BCA",48,"female",7,8,8,65,14,2.8
"28","10229415","BCA",43,"female",7,8,9,63,14,2.8
"29","10229425","ABC",29,"male",7,8,9,71,17,3.4
"30","10230576","BCA",44,"female",7,8,9,55,16,3.2
"31","10229422","CAB",35,"male",8,8,8,53,15,3
"32","10229421","CAB",19,"female",8,9,9,57,14,2.8
"33","10230594","ABC",26,"female",8,9,9,50,17,3.4
"34","10229408","CAB",39,"male",9,9,9,55,15,3
"35","10229433","BCA",37,"male",9,9,9,48,15,3
"36","10229489","ABC",47,"female",9,9,9,65,16,3.2
"37","10229525","ABC",38,"male",9,9,9,57,16,3.2
"38","10445255","CAB",20,"male",9,9,9,67,14,2.8
